[epoch:0, iter:367] LOSS: 1.307 | avg_ACC: 36.440% 
[epoch:0, iter:368] LOSS: 1.461 | avg_ACC: 36.464% 
[epoch:0, iter:369] LOSS: 1.612 | avg_ACC: 36.484% 
[epoch:0, iter:370] LOSS: 1.397 | avg_ACC: 36.529% 
[epoch:0, iter:371] LOSS: 1.370 | avg_ACC: 36.561% 
[epoch:0, iter:372] LOSS: 1.204 | avg_ACC: 36.618% 
[epoch:0, iter:373] LOSS: 1.384 | avg_ACC: 36.666% 
[epoch:0, iter:374] LOSS: 1.686 | avg_ACC: 36.669% 
[epoch:0, iter:375] LOSS: 1.355 | avg_ACC: 36.712% 
[epoch:0, iter:376] LOSS: 1.465 | avg_ACC: 36.740% 
[epoch:0, iter:377] LOSS: 1.322 | avg_ACC: 36.775% 
[epoch:0, iter:378] LOSS: 1.522 | avg_ACC: 36.818% 
